sub_sys, event_name
cfg80211, rdev_set_monitor_channel
cfg80211, rdev_set_noack_map
cfg80211, rdev_set_pmksa
cfg80211, rdev_set_power_mgmt
cfg80211, rdev_set_qos_map
cfg80211, rdev_set_rekey_data
cfg80211, rdev_set_tx_power
cfg80211, rdev_set_txq_params
cfg80211, rdev_set_wakeup
cfg80211, rdev_set_wds_peer
cfg80211, rdev_set_wiphy_params
cfg80211, rdev_start_ap
cfg80211, rdev_start_p2p_device
cfg80211, rdev_stop_ap
cfg80211, rdev_stop_p2p_device
cfg80211, rdev_suspend
cfg80211, rdev_tdls_cancel_channel_switch
cfg80211, rdev_tdls_channel_switch
cfg80211, rdev_tdls_mgmt
cfg80211, rdev_tdls_oper
cfg80211, rdev_update_ft_ies
cfg80211, rdev_update_mesh_config
clk, clk_disable
clk, clk_disable_complete
clk, clk_enable
clk, clk_enable_complete
clk, clk_prepare
clk, clk_prepare_complete
clk, clk_set_parent
clk, clk_set_parent_complete
clk, clk_set_phase
clk, clk_set_phase_complete
clk, clk_set_rate
clk, clk_set_rate_complete
clk, clk_unprepare
clk, clk_unprepare_complete
cma, cma_alloc
cma, cma_release
compaction, mm_compaction_begin
compaction, mm_compaction_defer_compaction
compaction, mm_compaction_defer_reset
compaction, mm_compaction_deferred
compaction, mm_compaction_end
compaction, mm_compaction_finished
compaction, mm_compaction_isolate_freepages
compaction, mm_compaction_isolate_migratepages
compaction, mm_compaction_migratepages
compaction, mm_compaction_suitable
compaction, mm_compaction_try_to_compact_pages
ext4, ext4_alloc_da_blocks
ext4, ext4_allocate_blocks
ext4, ext4_allocate_inode
ext4, ext4_begin_ordered_truncate
ext4, ext4_collapse_range
ext4, ext4_da_release_space
ext4, ext4_da_reserve_space
ext4, ext4_da_update_reserve_space
ext4, ext4_da_write_begin
ext4, ext4_da_write_end
ext4, ext4_da_write_pages
ext4, ext4_da_write_pages_extent
ext4, ext4_direct_IO_enter
ext4, ext4_direct_IO_exit
ext4, ext4_discard_blocks
ext4, ext4_discard_preallocations
ext4, ext4_drop_inode
ext4, ext4_es_cache_extent
ext4, ext4_es_find_delayed_extent_range_enter
ext4, ext4_es_find_delayed_extent_range_exit
ext4, ext4_es_insert_extent
ext4, ext4_es_lookup_extent_enter
ext4, ext4_es_lookup_extent_exit
ext4, ext4_es_remove_extent
ext4, ext4_es_shrink
ext4, ext4_es_shrink_count
ext4, ext4_es_shrink_scan_enter
ext4, ext4_es_shrink_scan_exit
ext4, ext4_evict_inode
ext4, ext4_ext_convert_to_initialized_enter
ext4, ext4_ext_convert_to_initialized_fastpath
ext4, ext4_ext_handle_unwritten_extents
ext4, ext4_ext_in_cache
ext4, ext4_ext_load_extent
ext4, ext4_ext_map_blocks_enter
ext4, ext4_ext_map_blocks_exit
ext4, ext4_ext_put_in_cache
ext4, ext4_ext_remove_space
ext4, ext4_ext_remove_space_done
ext4, ext4_ext_rm_idx
ext4, ext4_ext_rm_leaf
ext4, ext4_ext_show_extent
ext4, ext4_fallocate_enter
ext4, ext4_fallocate_exit
ext4, ext4_find_delalloc_range
ext4, ext4_forget
ext4, ext4_free_blocks
ext4, ext4_free_inode
ext4, ext4_get_implied_cluster_alloc_exit
ext4, ext4_get_reserved_cluster_alloc
ext4, ext4_ind_map_blocks_enter
ext4, ext4_ind_map_blocks_exit
ext4, ext4_insert_range
ext4, ext4_invalidatepage
ext4, ext4_journal_start
ext4, ext4_journal_start_reserved
ext4, ext4_journalled_invalidatepage
ext4, ext4_journalled_write_end
ext4, ext4_load_inode
ext4, ext4_load_inode_bitmap
ext4, ext4_mark_inode_dirty
ext4, ext4_mb_bitmap_load
ext4, ext4_mb_buddy_bitmap_load
ext4, ext4_mb_discard_preallocations
ext4, ext4_mb_new_group_pa
ext4, ext4_mb_new_inode_pa
ext4, ext4_mb_release_group_pa
ext4, ext4_mb_release_inode_pa
ext4, ext4_mballoc_alloc
ext4, ext4_mballoc_discard
ext4, ext4_mballoc_free
ext4, ext4_mballoc_prealloc
ext4, ext4_other_inode_update_time
ext4, ext4_punch_hole
ext4, ext4_read_block_bitmap_load
ext4, ext4_readpage
ext4, ext4_releasepage
ext4, ext4_remove_blocks
ext4, ext4_request_blocks
ext4, ext4_request_inode
ext4, ext4_sync_file_enter
ext4, ext4_sync_file_exit
ext4, ext4_sync_fs
ext4, ext4_trim_all_free
ext4, ext4_trim_extent
ext4, ext4_truncate_enter
ext4, ext4_truncate_exit
ext4, ext4_unlink_enter
ext4, ext4_unlink_exit
ext4, ext4_write_begin
ext4, ext4_write_end
ext4, ext4_writepage
ext4, ext4_writepages
ext4, ext4_writepages_result
ext4, ext4_zero_range
fib, fib_table_lookup
fib, fib_table_lookup_nh
fib, fib_validate_source
filelock, break_lease_block
filelock, break_lease_noblock
filelock, break_lease_unblock
filelock, generic_add_lease
filelock, generic_delete_lease
filelock, time_out_leases
